refinement_furnace_name	Refinement Furnace	Bảo Lô Luyện Khí	炼器宝炉	錬器宝炉	련기보로
refinement_furnace_description	A mystic furnace that tempers equipment using refinement materials.	Một lò luyện kỳ bí dùng để rèn trang bị bằng nguyên liệu luyện khí.	炼器材料锻造装备的神秘宝炉。	錬器材料で装備を鍛造する神秘的な宝炉。	련기재료로 장비를 단조하는 신비한 보로.
refinement_material_name	Refinement Material	Nguyên Liệu Luyện Khí	炼器材料	錬器材料	련기재료
refinement_material_description	A material used to temper artifacts. Tier: {0}	Một loại nguyên liệu dùng để luyện hóa bảo vật. Cấp: {0}	用于炼化宝物的材料。阶：{0}	宝物を練化するための材料。階：{0}	보물을 련화하기 위한 재료. 계: {0}
refinement_in_progress	Refining...	Đang Luyện Hóa...	炼化中...	練化中...	련화중...
refinement_upgrade_success	Refinement Successful!	Luyện Hóa Thành Công!	炼化成功！	練化成功！	련화 성공!
refinement_upgrade_failed	Refinement Failed.	Luyện Hóa Thất Bại.	炼化失败。	練化失敗。	련화 실패.
refinement_max_tier	Reached maximum upgrade tier.	Đã đạt cấp luyện hóa tối đa.	已达到最高炼化阶级。	最高練化階級に達しました。	최고 련화 계급에 도달했습니다.
refinement_invalid_target	Invalid item for refinement.	Vật phẩm không hợp lệ để luyện hóa.	无效的炼化物品。	無効な練化アイテム。	무효한 련화 아이템.
refinement_missing_material	Missing refinement material.	Thiếu nguyên liệu luyện hóa.	缺少炼化材料。	練化材料が不足しています。	련화 재료가 부족합니다.
refinement_missing_item	Missing item to refine.	Thiếu vật phẩm để luyện hóa.	缺少要炼化的物品。	練化するアイテムが不足しています。	련화할 아이템이 부족합니다.
ordering_description	<b>Ordering</b>\nCapacity: {0} / {1} slots.\nEquip in Combat Prep.\nInsured slots: {2}\n<i>Lose 50% random items on retreat.</i>	<b>Hành Trang (Ordering)</b>\nSức chứa: {0} / {1} ô.\nMang vào Combat Prep để trang bị.\nSố ô bảo hiểm: {2}\n<i>Phạt mất 50% vật phẩm ngẫu nhiên khi rút lui/thất bại viễn chinh.</i>	<b>行囊 (Ordering)</b>\n容量：{0} / {1} 格。\n在战斗准备中装备/使用道具。\n保险格数：{2}\n<i>撤退/远征失败时随机丢失 50% 的物品。</i>	<b>荷物 (Ordering)</b>\n容量：{0} / {1} スロット。\n戦闘準備で装備/アイテムを使用。\n保険スロット：{2}\n<i>撤退/遠征失敗時にランダムで50%のアイテムを失う。</i>	<b>행낭 (Ordering)</b>\n용량: {0} / {1} 칸.\n전투 준비에서 장비/도구 사용.\n보험 칸수: {2}\n<i>퇴각/원정 실패 시 무작위로 50%의 아이템을 잃음.</i>
